Mass[Solar Masses]:,1.395,Luminosity[Solar Luminosities]:,53.18632708,Temperature[K]:,4688.133821,nu_max[microHz]:,39.01884419
Peak frequency[microHz](ls),Peak frequency[microsHz](smooth),Peak amplitude[m/s](ls),Peak amplitude[m/s](smooth),Peak STD,Good Star?,,
34.96503497,42.24941725,6.547058401,1.521288966,0,FALSE,,
40.79254079,72.84382284,7.452821411,1.760784261,0,FALSE,,
40.79254079,37.87878788,6.251426805,1.483972447,0,FALSE,,
40.79254079,59.73193473,9.04222852,1.434203364,0,FALSE,,
33.50815851,37.87878788,6.042485526,1.429565662,0,FALSE,,
37.87878788,61.18881119,7.344595278,1.423565891,0,FALSE,,
43.70629371,49.53379953,8.269124936,1.476436332,0,FALSE,,
33.50815851,37.87878788,8.315694559,1.565382085,0,FALSE,,
33.50815851,40.79254079,7.666977219,1.464302248,0,FALSE,,
50.99067599,37.87878788,8.6675271,1.540040153,0,FALSE,,
27.68065268,53.9044289,5.599609235,1.469591008,0,FALSE,,
17.48251748,53.9044289,6.607868161,1.323532724,0,FALSE,,
39.33566434,71.38694639,10.73814867,1.658673513,0,FALSE,,
1.456876457,61.18881119,4.717723749,1.494574236,0,FALSE,,
45.16317016,42.24941725,10.39610584,1.664381721,0,TRUE,,
30.59440559,53.9044289,7.817047288,1.757676555,0,TRUE,,
37.87878788,58.27505828,15.73787743,2.077671491,0,TRUE,,
37.87878788,37.87878788,18.1944826,2.063441914,0,TRUE,,
34.96503497,50.99067599,16.53098938,2.180117412,0,TRUE,,
26.22377622,39.33566434,9.249075876,1.764654601,0,TRUE,,
39.33566434,45.16317016,9.066824099,1.755264953,0,TRUE,,
42.24941725,52.44755245,11.55262928,1.739506507,0,TRUE,,
43.70629371,65.55944056,8.909316539,1.894215826,0,TRUE,,
42.24941725,59.73193473,8.274043643,1.84253831,0,TRUE,,
29.13752914,42.24941725,8.413199276,1.644048821,0,TRUE,,
39.33566434,45.16317016,19.57085646,2.051075509,0,TRUE,,
42.24941725,37.87878788,7.662407209,1.620415825,0,TRUE,,
