#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-10-09T12:17:02 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ5254f45f1557	
#INFO	-out.max=50	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=50
#-sort=_r
#-nav=cat:I/317&tab:{I/317/sample}&key:source=ppmxl&pos:NGC104(   1 deg J2000)&HTTPPRM:&&-ref=VIZ5254f45f1557&-out.max=50&-out.form=ascii table&-sort=_r&-oc.form=dec&-c=NGC104&-c.eq=J2000&-c.r=  1&-c.u=deg&-c.geom=r&-out.src=I/317/sample&-order=I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=Jmag&-out=Hmag&-out=Kmag&-out=b1mag&-out=b2mag&-out=imag&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&
#-c=NGC104
#-c.eq=J2000
#-c.r=  1
#-c.u=deg
#-c.geom=r
#-sort=_r
#-sort=_r
#-sort=_r
#-sort=_r
#-sort=_r
#-out.src=I/317/sample
#-sort=_r
#-source=I/317/sample
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=b1mag
#-out=b2mag
#-out=imag
#
#INFO	-c=006.022329-72.081444,rd=1.	
#

#RESOURCE=yCat_1317
#Name: I/317
#Title: The PPMXL Catalog (Roeser+ 2010)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_317_sample:
#Name: I/317/sample
#Title: PPMXL catalog of positions and proper motions on the ICRS
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F8.1)	Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.1)	Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Jmag	(F6.3)	? J magnitude from 2MASS (Cat. II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	? H magnitude from 2MASS (Cat. II/246)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	? Ks magnitude from 2MASS (Cat. II/246)	[ucd=phot.mag;em.IR.K]
#Column	b1mag	(F5.2)	? B mag from USNO-B, first epoch \ifnum\Vphase>3{\em(in color when the magnitude has a special meaning, see flags)}\fi (1)	[ucd=phot.mag;em.opt.B]
#Column	b2mag	(F5.2)	? B mag from USNO-B, second epoch \ifnum\Vphase>3{\em(in color when the magnitude has a special meaning, see flags)}\fi (1)	[ucd=phot.mag;em.opt.B]
#Column	imag	(F5.2)	? I mag from USNO-B \ifnum\Vphase>3{\em(in color when the magnitude has a special meaning, see flags)}\fi (1)	[ucd=phot.mag;em.opt.I]
RAJ2000;DEJ2000;pmRA;pmDE;Jmag;Hmag;Kmag;b1mag;b2mag;imag
deg;deg;mas/yr;mas/yr;mag;mag;mag;mag;mag;mag
----------;----------;--------;--------;------;------;------;-----;-----;-----
006.022675;-72.078361;     5.2;    20.2; 8.628; 7.940; 8.765;12.90;     ;
005.990311;-72.091566;   -15.0;     5.2; 8.016; 7.447; 7.072;11.23;     ;
006.052711;-72.111086;     9.4;    -5.6; 7.607; 6.881; 6.382;12.85;     ;
005.944862;-72.143509;   -52.2;  -196.8;12.567;11.960;11.912;     ;     ;
006.047379;-72.147535;    -0.8;     5.7;14.925;14.302;14.320;     ;     ;
005.875888;-72.032136;   -57.1;    64.2;12.215;11.741;11.664;     ;     ;
005.802546;-72.091804;  -159.2;   -85.0;      ;      ;      ;     ;10.63;
006.243073;-72.100202;    17.2;  -124.1;15.898;15.712;15.395;     ;     ;10.14
005.817628;-72.048927;   -13.0;    32.1;12.521;12.083;11.984;     ;     ;13.17
006.116572;-72.146859;    11.9;    55.3;12.408;11.813;11.745;     ;     ;13.86
005.892683;-72.020853;    27.4;   -33.8;14.784;14.526;14.151;     ;     ;10.39
005.786017;-72.081154;   186.8;  -973.7;      ;      ;      ;     ;     ;16.07
005.833523;-72.125365;    -0.9;   -45.5;16.064;15.412;15.876;     ;     ;10.79
006.000811;-72.154638;   -33.3;    18.7;14.312;13.859;13.822;     ;     ;
006.256767;-72.098953;     0.6;  -141.4;14.226;13.730;13.666;     ;     ;10.10
006.138894;-72.147273;   -23.1;    23.0;15.163;14.817;14.653;     ;     ;10.80
005.925538;-72.012624;    14.7;  -119.8;15.482;15.100;15.374;     ;     ;10.51
006.067039;-72.155457;    47.8;  -148.6;14.511;14.064;14.002;     ;     ;10.22
005.786476;-72.060328;   -33.6;    -0.9;13.767;13.303;13.202;     ;     ;13.42
005.843210;-72.028847;     2.6;   -57.2;14.861;14.388;14.470;     ;     ;14.89
005.775659;-72.091167;    18.0;    -1.8;15.405;14.988;14.758;     ;13.54;15.58
006.260987;-72.103873;    17.4;   -29.5;14.304;13.767;13.824;     ;     ;10.85
006.168559;-72.143724;     4.4;   -54.1;12.777;12.177;12.158;     ;     ;13.74
006.122929;-72.151996;     0.8;  -130.6; 8.588; 7.726; 7.487;     ;     ;
005.825918;-72.129591;   143.8;    90.6;11.585;10.944;10.895;     ;     ;11.99
005.770611;-72.083946;    15.4;   -94.3;12.452;12.036;11.921;     ;     ;12.35
005.771443;-72.074450;   -60.8;    -1.1;10.326; 9.680; 9.529;     ;     ;11.44
006.056085;-72.158523;   107.5;    54.6;15.504;15.076;14.480;     ;     ;15.45
006.016138;-72.159211;    75.8;   -29.0;15.458;14.927;14.761;     ;10.67;12.68
006.187964;-72.140341;   -29.1;   -65.1; 9.997; 9.269; 9.102;     ;     ;10.83
005.953022;-72.006275;   -88.9;   -96.6;12.576;12.128;12.073;     ;     ;12.08
005.781461;-72.055656;    65.7;    25.0;12.477;12.069;11.966;     ;     ;12.20
005.786642;-72.111850;   -89.0;   -35.7;13.771;13.614;13.654;     ;     ;
006.151922;-72.149751;   -58.8;    -6.4;13.235;12.725;12.639;     ;     ;13.74
005.795687;-72.119115;    -9.7;  -704.8;      ;      ;      ;     ;12.20;15.60
